_Category,_CaptionText,_Year,_MediaType,_MediaWidth,_MediaHeight,_Status,_ImageFile,_ImageWidth,_ImageHeight,_ImageKB,_CaptionID,_ThumbFile,_ThumbWidth,_ThumbHeight,_ThumbKB,_Notes,_tags,_OriginalFile,_OriginalWidth,_OriginalHeight,_OriginalKB
Mixed,A Gentleman,2014,Graphite,24,16,,AGentleman.jpg,,,,AGentleman,AGentleman_thumb.jpg,140,88,,,,,,,
Mixed,Mr. Chickadee,2013,Graphite,11,14,SOLD,MrChickadee.jpg,,,,MrChickadee,MrChickadee_thumb.jpg,69,88,,,,,,,
Mixed,Senescing,2016,Graphite,34,16,,Senescing.jpg,,,,Senescing,Senescing_thumb.jpg,223,88,,,,,,,
Mixed,Sunning,2015,Graphite,13,10,,Sunning.jpg,,,,Sunning,Sunning_thumb.jpg,117,88,,,,,,,
Mixed,TheFirstToArrive,2014,Graphite,16,20,,TheFirstToArrive.jpg,,,,TheFirstToArrive,TheFirstToArrive_thumb.jpg,64,88,,,,,,,
Mixed,The Last Dance,2013,Graphite,10,13,SOLD -- Prints Available,TheLastDance.jpg,,,,TheLastDance,TheLastDance_thumb.jpg,51,88,,,,,,,
Mixed,Tucker,2016,Graphite,16,20,SOLD -- Prints Available,Tucker.jpg,,,,Tucker,Tucker_thumb.jpg,64,88,,,,,,,
Mixed,Waiting,2015,Graphite,14,24,,Waiting.jpg,,,,Waiting,Waiting_thumb.jpg,40,88,,,,,,,
Mixed,WakeUp!,2014,Graphite,36,12,,WakeUp3.jpg,,,,WakeUp3,WakeUp3_thumb.jpg,295,88,,,,,,,
Mixed,Beautiful Encounter,2013,Graphite and Charcoal,30,20,SOLD,BeautifulEncounter.jpg,,,,BeautifulEncounter,BeautifulEncounter_thumb.jpg,65,88,,,,,,,
Mixed,Unhinged,2016,Graphite and Watercolor,4.25,2.25,,Unhinged.jpg,,,,Unhinged,Unhinged_thumb.jpg,166,88,,,,,,,
Mixed,Scheming,2015,Graphite and Watercolor,2,3,,Scheming.jpg,,,,Scheming,Scheming_thumb.jpg,59,88,,,,,,,
Mixed,Whoo's There,2014,Graphite and Watercolor,2,2,,WhoosThere.jpg,,,,WhoosThere,WhoosThere_thumb.jpg,89,88,,,,,,,
